Name,Team,League,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Deni Avdija,Maccabi Tel Aviv,EuroLeague,eu,26,371,4,9.1,0.436,1.3,4.6,0.277,2.7,4.6,0.596,1,1.7,0.556,1.5,5.1,6.6,2.9,1,0.6,1.8,5,10.2
Giannis Antetokounmpo,Greece,FIBA,,5,125,6.9,13.2,0.522,0.6,2.6,0.222,6.3,10.7,0.595,6.9,9.8,0.706,1.4,11.2,12.7,3.5,3.5,0.9,3.7,5.2,21.3
Thanasis Antetokounmpo,Greece,FIBA,,5,62,7,12.8,0.545,1.7,4.6,0.375,5.2,8.1,0.643,1.7,3.5,0.5,1.7,2.3,4.1,2.9,1.2,1.2,2.3,8.1,17.4
LaMelo Ball,Hawks,NBL,au,12,375,7.2,19.2,0.375,1.9,7.7,0.25,5.3,11.5,0.458,3.3,4.5,0.723,2.2,6.5,8.7,7.9,1.8,0.1,2.9,3,19.6
Nicolas Batum,Le Mans,LNB Pro A,fr,30,864,5.6,10.7,0.523,1.3,3.7,0.348,4.3,7,0.617,2.9,3.9,0.753,2,4.3,6.3,4.5,1.7,1,3,2.1,15.4
Joan Beringer,Cedevita Olimpija,ABA,,30,548,3.9,6.6,0.594,0,0,,3.9,6.6,0.594,1.8,3,0.6,2.6,5.5,8.1,1.1,1,2.9,1.2,4.7,9.7
Goga Bitadze,Budućnost,EuroLeague,eu,13,315,5.8,10.6,0.548,0.6,1.8,0.313,5.3,8.8,0.597,5.7,8,0.714,3.8,5.7,9.5,1.7,0.7,3.4,2.1,5.4,17.9
Bismack Biyombo,Fuenlabrada,Liga ACB,es,14,239,4.8,8.7,0.552,0,0,,4.8,8.7,0.552,3.9,7.1,0.553,4.1,6.6,10.7,0.6,0.8,4.8,3.6,4.2,13.6
Bogdan Bogdanović,Partizan,Euroleague,eu,23,722,5.9,14.8,0.401,2.5,6.7,0.37,3.4,8.1,0.426,2.6,3.4,0.754,0.8,3.4,4.2,4.2,1.8,0.2,3.9,3,17
Clint Capela,Élan,LNB Pro A,fr,30,651,7,10.6,0.665,0,0.1,0,7,10.5,0.668,2.3,4,0.575,4.2,8,12.2,2,1.1,2.8,2.5,3.6,16.4
Bilal Coulibaly,Paris,LNB Pro A,fr,27,488,3.7,6.9,0.532,1,2.3,0.452,2.7,4.6,0.571,1.6,2.7,0.595,1.6,4.5,6.1,1.6,1.5,0.4,1.8,3,10
Dyson Daniels,Australia,Paris 2024,fr,3,87,5.4,10.3,0.52,2.1,5,0.417,3.3,5.4,0.615,1.2,2.1,0.6,1.7,6.2,7.9,5.4,1.2,0.8,3.3,2.1,14.1
Mohamed Diawara,Cholet,LNB Élite,fr,27,529,3.9,10.1,0.383,1.5,4.8,0.31,2.4,5.3,0.449,1.4,2.8,0.488,2.1,3.6,5.7,2.7,1,0.5,1.5,4.2,10.6
Ousmane Dieng,New Zealand,NBL,au,23,468,6.2,15.5,0.398,2,7.4,0.271,4.2,8.1,0.514,1.4,2.1,0.667,0.9,4.7,5.6,1.9,1.1,0.5,2.5,2.6,15.7
Luka Doncic,Real Madrid,Liga ACB,es,28,671,6.4,13.9,0.463,1.8,6.3,0.28,4.7,7.6,0.617,4.6,5.9,0.773,1.4,7.1,8.5,7.5,1.7,0.6,3.2,2.4,19.2
Noa Essengue,Ulm,EuroCup,eu,18,427,5.9,10.5,0.56,0.8,2.9,0.294,5.1,7.7,0.659,6.2,8.4,0.73,1.9,6.2,8,1.7,2.1,0.8,1.5,4,18.8
Simone Fontecchio,Baskonia,Liga ACB,es,33,842,6.2,13.3,0.465,2.7,6.7,0.41,3.4,6.6,0.519,2.4,2.9,0.851,1.3,4.2,5.6,2.4,0.8,0.6,2.5,2.7,17.5
Josh Giddey,Adelaide,NBL,au,28,899,4.6,10.7,0.427,1.2,4,0.293,3.4,6.7,0.506,1.9,2.7,0.691,1.3,7,8.2,8.4,1.2,0.5,3.7,1.7,12.2
Rudy Gobert,Cholet,LNB Pro A,fr,27,612,5.2,7.3,0.718,0,0.2,0,5.2,7.1,0.736,2.9,4.2,0.704,3.4,5.2,8.5,0.6,1.1,2.9,2.4,3.4,13.4
Hugo Gonzalez,Real Madrid,Liga ACB,es,29,411,4.6,10.2,0.444,1.1,4.2,0.271,3.4,6,0.565,3,3.9,0.773,1.9,4.4,6.3,2.4,1.2,0.8,1.8,6,13.2
Isaiah Hartenstein,Žalgiris,EuroLeague,eu,5,16,4.5,11.3,0.4,0,4.5,0,4.5,6.8,0.667,2.3,2.3,1,0,9,9,2.3,0,0,4.5,4.5,11.3
Ariel Hukporti,Melbourne,NBL,au,28,514,6.3,10.6,0.596,0,0,,6.3,10.6,0.596,3.9,6.2,0.618,4.8,9,13.8,1.4,1.2,2.9,3.3,5.6,16.5
Joe Ingles,Maccabi Tel Aviv,Euroleague,eu,30,687,3.7,7.7,0.476,1.6,3.8,0.411,2.1,3.9,0.541,1.2,1.7,0.697,0.7,4.1,4.8,4.6,1.2,0.1,2,2.9,10.1
AJ Johnson,Illawarra,NBL,au,25,198,4.9,13.8,0.355,1.5,5.1,0.286,3.5,8.7,0.396,1.3,2.4,0.538,1.3,4.7,6,3.3,1.1,0.5,2.7,3.5,12.5
Nikola Jokic,Serbia,Rio de Janeiro 2016,br,5,108,6.3,11.3,0.559,0.7,2.7,0.25,5.7,8.7,0.654,2,3,0.667,2,8,10,4,1.7,1,2.3,5,15.3
Nikola Jovic,Mega,ABA,,25,695,5.2,12.2,0.428,2.2,6.1,0.356,3.1,6.1,0.5,2.5,3.4,0.754,1.1,4.6,5.7,4.4,0.7,0.5,3.5,3.2,15.2
Maxi Kleber,Bayern Munich,EuroCup,eu,17,393,5.2,10.5,0.496,2,4.6,0.44,3.2,6,0.538,2.7,3.2,0.829,3.7,6.7,10.4,2.1,1.5,1.5,2,4,15.1
Vit Krejci,Zaragoza,Liga ACB,es,18,137,5.8,9.5,0.611,1.3,3.9,0.333,4.5,5.5,0.81,2.4,3.4,0.692,1.6,3.4,5,2.1,0.8,0.3,2.6,8.4,15.2
Karlo Matkovic,Mega,ABA,,25,549,7.9,13,0.606,0,0.2,0,7.9,12.8,0.615,3.2,4.5,0.71,4.5,5.5,10,1.8,0.8,1.8,2.6,5,19
Svi Mykhailiuk,Ukraine,FIBA,,4,33,2.2,12,0.182,1.1,6.5,0.167,1.1,5.5,0.2,2.2,5.5,0.4,3.3,2.2,5.5,2.2,1.1,0,6.5,4.4,7.6
Noah Penda,Le Mans Sarthe,LNB Elite,fr,29,780,4.6,10.4,0.44,1.3,4.2,0.304,3.3,6.1,0.534,3.2,4.7,0.693,2,4.8,6.8,3.5,1.8,0.5,2.3,2.8,13.7
Kristaps Porzingis,Sevilla,Liga ACB,es,34,737,6.7,14.2,0.471,1.2,3.9,0.313,5.5,10.3,0.531,3.2,4.1,0.774,2.7,5.3,8,0.7,1.5,1.6,2.2,4.8,17.8
Zaccharie Risacher,Bourg,LNB Élite,fr,32,703,5.4,12.2,0.439,1.9,5.5,0.352,3.4,6.7,0.511,3.8,5.1,0.74,2,4.3,6.2,1.5,1.4,0.4,2.2,3.9,16.5
Rayan Rupert,New Zealand,NBL,au,20,394,4.3,11.8,0.364,1.1,4.4,0.25,3.2,7.4,0.432,2.4,3.4,0.703,1.2,3.3,4.5,1.7,1.5,0.3,2.1,3.6,12.1
Tidjane Salaun,Cholet,LNB Élite,fr,33,748,4.7,12.5,0.373,2.2,6.7,0.329,2.5,5.8,0.425,2.7,3.5,0.767,2.2,4.2,6.4,1.6,1.8,0.4,2.4,4,14.2
Gui Santos,Brazil,Paris 2024,fr,3,87,2.9,7.9,0.368,1.7,4.1,0.4,1.2,3.7,0.333,1.7,2.5,0.667,2.5,2.1,4.6,2.5,1.7,0.8,1.7,4.1,9.1
Ben Saraf,Kiryat Ata,IBSL,il,22,502,6,15.3,0.388,1.4,5,0.286,4.5,10.3,0.438,3.6,5.2,0.694,1.1,4.1,5.2,5.7,1.6,0.4,2.6,3.8,16.9
Alex Sarr,Perth,NBL,au,24,412,7.8,14.9,0.52,1.2,4.1,0.298,6.6,10.8,0.605,3.5,4.9,0.714,3,6.2,9.2,1.8,1,2.8,2.3,2.9,20.3
Dennis Schroder,Germany,FIBA,,5,32.8,5.8,14,0.414,2,4.2,0.476,3.8,9.8,0.388,6,7.4,0.811,0.8,3.8,4.6,9.4,1.4,0.2,3.4,1.4,19.6
Alperen Sengun,Beşiktaş,BSL,tr,29,821,8.9,13.8,0.646,0.2,0.9,0.19,8.7,12.8,0.679,6.4,7.9,0.812,5.2,6.7,11.9,3.2,1.7,2.1,3,3.9,24.4
Nolan Traore,Saint-Quentin BB,LNB Élite,fr,7,137,6.6,17.9,0.368,1.3,5.3,0.25,5.3,12.6,0.417,4.5,7.4,0.607,0.8,1.8,2.6,10,0.5,1.1,5.8,5,18.9
Luke Travers,Melbourne,NBL,au,25,658,6.2,12,0.516,0.9,2.8,0.327,5.3,9.1,0.575,3.1,4.7,0.671,2.4,8,10.4,2.6,1.4,1.4,1.8,1.8,16.4
Jonas Valanciunas,Rytas,Euroleague,eu,15,231,7.2,10.1,0.708,0,0,,7.2,10.1,0.708,3.6,4.1,0.885,4.2,9.4,13.6,0.5,0.5,1.6,3.3,7.2,17.9
Tristan Vukcevic,Partizan,ABA,,22,326,7.2,12.4,0.58,2,5,0.4,5.2,7.4,0.701,3.3,4.1,0.811,1.9,5.9,7.7,2.5,1.2,1.2,2.8,5.3,19.7
Nikola Vucevic,Budućnost,Eurocup,eu,4,114,8.5,16.7,0.509,0.9,3.2,0.3,7.6,13.6,0.558,3.2,4.1,0.769,1.9,6.9,8.8,0.6,0.9,2.2,0.6,2.8,21.2
Victor Wembanyama,Paris,LNB Pro A,fr,34,1092,8.4,17.9,0.47,1.5,5.6,0.275,6.9,12.2,0.561,5.9,7.1,0.828,2.2,9.5,11.7,2.7,0.8,3.4,3,2.3,24.2
Guerschon Yabusele,Rouen,LNB Pro A,fr,34,975,5.4,9.9,0.539,1,2.3,0.426,4.4,7.7,0.572,2.8,3.6,0.765,3.2,5.4,8.6,1.3,1.4,0.6,2,3.1,14.4
Yang Hansen,Qingdao,CBA,cn,45,1475,7.2,12.2,0.586,0.4,1.2,0.333,6.8,11,0.613,3.6,5.3,0.671,3.4,8.1,11.6,3.3,1.1,2.9,3.3,3.4,18.3
Rocco Zikarsky,Brisbane,NBL,au,18,213,5.6,10.6,0.524,0.2,0.8,0.2,5.4,9.8,0.552,2.7,4.7,0.571,4.9,5.6,10.5,0.8,1,1.9,1.9,3.7,14
Dario Saric,Anadolu Efes,Euroleague,eu,24,539,6.9,13.8,0.5,1.9,4.8,0.403,4.9,8.9,0.552,3.1,3.3,0.939,2.4,6.8,9.2,2.3,0.8,0.7,2.4,4.1,18.8
