player,player_id,Career_MP,Career_WS,Career_VORP,All_Star_Selections,All_NBA_Selections,OutcomeClass,norm
A.J. Lawson,lawsoaj01,1239.0,1.8,-0.4,0,0,Rotational,a.j. lawson
AJ Johnson,johnsaj01,2186.0,-2.5,-3.5,0,0,Rotational,aj johnson
Aaron Gordon,gordoaa01,23465.0,52.2,14.1,0,0,All-Star,aaron gordon
Aaron Holiday,holidaa01,9168.0,12.9,0.2,0,0,Rotational,aaron holiday
Aaron Nesmith,nesmiaa01,7512.0,11.2,-0.1999999999999999,0,0,Rotational,aaron nesmith
Aaron Wiggins,wiggiaa01,6892.0,15.0,1.9,0,0,Rotational,aaron wiggins
Ace Bailey,baileac01,1988.0,-0.1,-1.2,0,0,Rotational,ace bailey
Adem Bona,bonaad01,2139.0,5.199999999999999,-0.5,0,0,Rotational,adem bona
Adou Thiero,thierad01,149.0,0.2,-0.1,0,0,Rotational,adou thiero
Ajay Mitchell,mitchaj01,2070.0,6.3,1.5,0,0,Rotational,ajay mitchell
Al Horford,horfoal01,36887.0,119.5,45.3,5,0,Superstar,al horford
Alex Caruso,carusal01,10307.0,23.1,7.899999999999999,0,0,Starter,alex caruso
Alex Sarr,sarral01,3119.0,1.3,0.3,0,0,Rotational,alex sarr
Alijah Martin,martial01,146.0,0.0,-0.1,0,0,Rotational,alijah martin
Amari Williams,william01,146.0,0.2,0.0,0,0,Rotational,amari williams
Amir Coffey,coffeam01,6933.0,13.3,-0.1,0,0,Rotational,amir coffey
Andre Drummond,drumman01,30009.0,91.5,21.6,2,0,All-Star,andre drummond
Andre Jackson Jr.,jacksan01,1960.0,1.7999999999999998,-1.0,0,0,Rotational,andre jackson jr.
Andrew Nembhard,nembhan01,7437.0,8.799999999999999,-0.2,0,0,Rotational,andrew nembhard
Andrew Wiggins,wiggian01,31650.0,43.6,8.2,1,0,All-Star,andrew wiggins
Anthony Black,blackan01,4961.0,6.6,0.3999999999999999,0,0,Rotational,anthony black
Anthony Davis,davisan02,29447.0,126.7,58.0,10,4,Superstar,anthony davis
Anthony Edwards,edwaran01,15400.0,31.3,15.8,4,2,All-Star,anthony edwards
Anthony Gill,gillan01,3119.0,5.9,-1.0,0,0,Rotational,anthony gill
Antonio Reeves,reevean01,728.0,0.6000000000000001,-0.1,0,0,Rotational,antonio reeves
Ariel Hukporti,hukpoar01,715.0,1.3,-0.2,0,0,Rotational,ariel hukporti
Asa Newell,newelas01,500.0,1.2,0.1,0,0,Rotational,asa newell
Austin Reaves,reaveau01,10202.0,27.4,7.5,0,0,Starter,austin reaves
Ayo Dosunmu,dosunay01,11576.0,22.3,3.4,0,0,Starter,ayo dosunmu
Bam Adebayo,adebaba01,19719.0,64.0,22.2,3,0,All-Star,bam adebayo
Baylor Scheierman,scheiba01,1813.0,4.5,0.9,0,0,Rotational,baylor scheierman
Ben Saraf,sarafbe01,916.0,-1.1,-1.2,0,0,Rotational,ben saraf
Ben Sheppard,sheppbe01,3432.0,4.3,-0.7,0,0,Rotational,ben sheppard
Bennedict Mathurin,mathube01,9149.0,10.4,-2.5,0,0,Rotational,bennedict mathurin
Bilal Coulibaly,coulibi01,5131.0,1.7,-1.8,0,0,Rotational,bilal coulibaly
Bismack Biyombo,biyombi01,17844.0,34.5,-3.0,0,0,Starter,bismack biyombo
Blake Wesley,weslebl01,2589.0,-0.2000000000000001,-2.2,0,0,Rotational,blake wesley
Bobby Portis,portibo01,17825.0,38.3,6.5,0,0,Starter,bobby portis
Bobi Klintman,klintbo01,113.0,0.1,-0.1,0,0,Rotational,bobi klintman
Bogdan Bogdanović,bogdabo01,16098.0,27.0,7.699999999999999,0,0,Starter,bogdan bogdanovic
Bones Hyland,hylanbo01,5675.0,9.3,2.7,0,0,Rotational,bones hyland
Bradley Beal,bealbr01,27681.0,58.3,23.6,3,0,All-Star,bradley beal
Branden Carlson,carlsbr01,734.0,2.6,0.6000000000000001,0,0,Rotational,branden carlson
Brandin Podziemski,podzibr01,6017.0,13.4,3.4,0,0,Rotational,brandin podziemski
Brandon Clarke,clarkbr01,6412.0,24.7,7.3,0,0,Starter,brandon clarke
Brandon Ingram,ingrabr01,18920.0,32.0,10.5,2,0,All-Star,brandon ingram
Brandon Miller,millebr02,5275.0,5.7,1.9,0,0,Rotational,brandon miller
Brandon Williams,willibr01,163.0,-0.5,-0.4,0,0,Rotational,brandon williams
Brandon Williams,willibr03,2703.0,3.2,0.6000000000000001,0,0,Rotational,brandon williams
Brice Sensabaugh,sensabr01,3778.0,2.0,-0.5,0,0,Rotational,brice sensabaugh
Bronny James,jamesbr02,556.0,-0.1,-0.4,0,0,Rotational,bronny james
Brook Lopez,lopezbr01,35157.0,94.5,28.5,1,0,All-Star,brook lopez
Brooks Barnhizer,barnhbr01,348.0,0.6,-0.1,0,0,Rotational,brooks barnhizer
Bruce Brown,brownbr01,16162.0,25.7,0.3999999999999999,0,0,Starter,bruce brown
Bryce McGowens,mcgowbr01,2581.0,2.3,-1.7000000000000002,0,0,Rotational,bryce mcgowens
Bub Carrington,carrica01,4729.0,-0.2,-3.2,0,0,Rotational,bub carrington
Buddy Hield,hieldbu01,28365.0,36.4,13.7,0,0,Starter,buddy hield
CJ Huntley,huntlcj01,40.0,0.1,0.0,0,0,Rotational,cj huntley
CJ McCollum,mccolcj01,31937.0,61.4,24.8,0,0,All-Star,cj mccollum
Cade Cunningham,cunnica01,9186.0,15.0,9.8,2,1,All-Star,cade cunningham
Caleb Houstan,houstca01,2490.0,4.2,-0.4,0,0,Rotational,caleb houstan
Caleb Love,loveca01,1013.0,0.6,-0.3,0,0,Rotational,caleb love
Caleb Martin,martica02,9632.0,13.2,0.6000000000000001,0,0,Rotational,caleb martin
Cam Christie,chrisca02,539.0,0.2,-0.3,0,0,Rotational,cam christie
Cam Spencer,spencca01,1966.0,6.1,2.0,0,0,Rotational,cam spencer
Cam Thomas,thomaca02,6742.0,4.6,-1.1,0,0,Rotational,cam thomas
Cam Whitmore,whitmca01,2061.0,3.3,0.9,0,0,Rotational,cam whitmore
Cameron Johnson,johnsca02,11866.0,30.0,10.2,0,0,Starter,cameron johnson
Caris LeVert,leverca01,20569.0,34.0,9.4,0,0,Starter,caris levert
Carter Bryant,bryanca01,818.0,1.3,-0.2,0,0,Rotational,carter bryant
Cason Wallace,wallaca01,5614.0,14.4,4.1,0,0,Rotational,cason wallace
Cedric Coward,cowarce01,1598.0,2.5,0.7,0,0,Rotational,cedric coward
Charles Bassey,bassech01,1563.0,5.2,1.2,0,0,Rotational,charles bassey
Chaz Lanier,laniech01,262.0,0.3,-0.2,0,0,Rotational,chaz lanier
Chet Holmgren,holmgch01,5287.0,21.2,7.4,1,0,All-Star,chet holmgren
Chris Boucher,bouchch01,7310.0,26.1,5.6000000000000005,0,0,Starter,chris boucher
Chris Livingston,livinch01,213.0,0.3,-0.2,0,0,Rotational,chris livingston
Chris Paul,paulch01,45836.0,215.3,98.7,12,11,Superstar,chris paul
Chris Youngblood,youngch01,370.0,1.0,0.0,0,0,Rotational,chris youngblood
Christian Braun,braunch01,6910.0,16.3,1.8,0,0,Rotational,christian braun
Christian Koloko,kolokch01,1858.0,3.2,-0.9,0,0,Rotational,christian koloko
Chucky Hepburn,hepbuch01,13.0,-0.1,-0.1,0,0,Rotational,chucky hepburn
Clint Capela,capelca01,18329.0,72.4,16.4,0,0,All-Star,clint capela
Coby White,whiteco01,15064.0,22.0,1.9,0,0,Starter,coby white
Cody Martin,martico01,6906.0,8.4,0.3999999999999999,0,0,Rotational,cody martin
Cody Williams,willico04,2691.0,-1.1,-2.9,0,0,Rotational,cody williams
Colby Jones,jonesco02,1229.0,1.2,-0.3,0,0,Rotational,colby jones
Cole Anthony,anthoco01,8462.0,10.4,2.6,0,0,Rotational,cole anthony
Colin Castleton,castlco01,944.0,1.6,-0.7,0,0,Rotational,colin castleton
Collin Gillespie,gilleco01,2968.0,7.9,3.1,0,0,Rotational,collin gillespie
Collin Murray-Boyles,murraco01,1246.0,4.0,1.0,0,0,Rotational,collin murray-boyles
Collin Sexton,sextoco01,15385.0,23.6,4.0,0,0,Starter,collin sexton
Cooper Flagg,flaggco01,2344.0,3.8,2.0,0,0,Rotational,cooper flagg
Corey Kispert,kispeco01,9723.0,12.9,-0.7,0,0,Rotational,corey kispert
Craig Porter Jr.,portecr01,2310.0,5.4,2.0,0,0,Rotational,craig porter jr.
Curtis Jones,jonescu01,88.0,0.1,0.0,0,0,Rotational,curtis jones
D'Angelo Russell,russeda01,24476.0,35.4,16.5,1,0,All-Star,d'angelo russell
Daeqwon Plowden,plowdda01,916.0,1.0,-0.5,0,0,Rotational,daeqwon plowden
Dalen Terry,terryda01,2984.0,3.9,-0.3,0,0,Rotational,dalen terry
Dalton Knecht,knechda01,2047.0,3.1,-0.1,0,0,Rotational,dalton knecht
Damian Lillard,lillada01,32614.0,118.3,54.6,9,5,Superstar,damian lillard
Daniel Gafford,gaffoda01,11290.0,46.5,11.1,0,0,Starter,daniel gafford
Daniss Jenkins,jenkida01,1478.0,2.8,0.4,0,0,Rotational,daniss jenkins
Danny Wolf,wolfda01,1187.0,0.8,-0.2,0,0,Rotational,danny wolf
Darius Garland,garlada01,15381.0,29.8,8.4,2,0,All-Star,darius garland
Davion Mitchell,mitchda01,10678.0,13.2,-1.6,0,0,Starter,davion mitchell
Day'Ron Sharpe,sharpda01,3931.0,11.9,2.1,0,0,Rotational,day'ron sharpe
De'Aaron Fox,foxde01,22132.0,44.7,16.4,2,1,All-Star,de'aaron fox
De'Andre Hunter,huntede01,13912.0,18.6,-1.7999999999999998,0,0,Starter,de'andre hunter
De'Anthony Melton,meltode01,9272.0,14.8,5.2,0,0,Rotational,de'anthony melton
DeAndre Jordan,jordade01,30735.0,108.6,24.5,1,0,Superstar,deandre jordan
DeMar DeRozan,derozde01,43634.0,114.2,30.5,6,3,Superstar,demar derozan
Dean Wade,wadede01,6832.0,14.9,2.9,0,0,Rotational,dean wade
Deandre Ayton,aytonde01,14230.0,43.7,9.2,0,0,Starter,deandre ayton
Dejounte Murray,murrade01,15134.0,26.8,12.9,1,0,All-Star,dejounte murray
Deni Avdija,avdijde01,11878.0,21.7,5.9,1,0,All-Star,deni avdija
Dereck Lively II,livelde01,2242.0,8.6,2.0,0,0,Rotational,dereck lively ii
Derik Queen,queende01,2023.0,2.7,0.6,0,0,Rotational,derik queen
Derrick Jones Jr.,jonesde02,11679.0,26.8,3.6,0,0,Starter,derrick jones jr.
Derrick White,whitede01,18905.0,51.8,20.2,0,0,All-Star,derrick white
Desmond Bane,banede01,12030.0,32.9,12.6,0,0,Starter,desmond bane
Devin Booker,bookede01,25295.0,57.9,20.2,5,1,All-Star,devin booker
Devin Carter,cartede02,1096.0,0.6000000000000001,-0.2,0,0,Rotational,devin carter
Devin Vassell,vassede01,10446.0,16.7,4.3,0,0,Starter,devin vassell
Dillon Brooks,brookdi01,16205.0,16.9,-5.300000000000001,0,0,Starter,dillon brooks
Domantas Sabonis,sabondo01,22599.0,78.1,30.8,3,2,All-Star,domantas sabonis
Donovan Clingan,clingdo01,3418.0,12.6,3.2,0,0,Rotational,donovan clingan
Donovan Mitchell,mitchdo01,20585.0,60.1,29.4,7,2,All-Star,donovan mitchell
Donte DiVincenzo,divindo01,14111.0,29.8,9.9,0,0,Starter,donte divincenzo
Dorian Finney-Smith,finnedo01,20968.0,33.8,4.1,0,0,Starter,dorian finney-smith
Doug McDermott,mcderdo01,18191.0,27.6,-1.2000000000000002,0,0,Starter,doug mcdermott
Drake Powell,poweldr01,1320.0,-0.1,-1.3,0,0,Rotational,drake powell
Draymond Green,greendr01,27151.0,66.3,28.1,4,1,All-Star,draymond green
Drew Eubanks,eubandr01,8427.0,21.7,2.2,0,0,Starter,drew eubanks
Drew Peterson,peterdr01,273.0,0.4,0.0,0,0,Rotational,drew peterson
Dru Smith,smithdr01,1856.0,4.7,1.7,0,0,Rotational,dru smith
Duncan Robinson,robindu01,13126.0,26.0,4.2,0,0,Starter,duncan robinson
Duop Reath,reathdu01,1941.0,4.0,0.6,0,0,Rotational,duop reath
Dwight Powell,poweldw01,13705.0,51.1,9.1,0,0,All-Star,dwight powell
Dylan Cardwell,cardwdy01,907.0,2.3,0.0,0,0,Rotational,dylan cardwell
Dylan Harper,harpedy01,1558.0,4.2,1.3,0,0,Rotational,dylan harper
Dyson Daniels,daniedy01,7491.0,15.8,5.3,0,0,Rotational,dyson daniels
E.J. Liddell,liddeej01,425.0,0.6,-0.1,0,0,Rotational,e.j. liddell
Elijah Harkless,harklej01,683.0,0.2,-0.6,0,0,Rotational,elijah harkless
Emanuel Miller,milleem01,58.0,0.2,0.0,0,0,Rotational,emanuel miller
Enrique Freeman,freemen01,218.0,0.3,-0.2,0,0,Rotational,enrique freeman
Eric Gordon,gordoer01,30922.0,44.4,9.2,0,0,Starter,eric gordon
Evan Mobley,mobleev01,10819.0,34.7,12.1,1,1,All-Star,evan mobley
Franz Wagner,wagnefr01,10417.0,24.2,7.800000000000001,0,0,Starter,franz wagner
Fred VanVleet,vanvlfr01,17193.0,46.1,18.8,1,0,All-Star,fred vanvleet
Gabe Vincent,vincega01,7589.0,6.3,-3.2,0,0,Rotational,gabe vincent
Garrett Temple,templga01,18138.0,18.9,-1.5,0,0,Starter,garrett temple
Gary Harris,harriga01,18406.0,28.3,2.1,0,0,Starter,gary harris
Gary Payton II,paytoga02,5759.0,16.5,4.5,0,0,Rotational,gary payton ii
Gary Trent Jr.,trentga02,14877.0,20.7,1.2999999999999998,0,0,Starter,gary trent jr.
Georges Niang,niangge01,11191.0,18.9,0.6,0,0,Starter,georges niang
Giannis Antetokounmpo,antetgi01,29273.0,125.7,65.5,10,9,Superstar,giannis antetokounmpo
Goga Bitadze,bitadgo01,6034.0,20.7,4.6,0,0,Starter,goga bitadze
Gradey Dick,dickgr01,3922.0,3.1,-2.0,0,0,Rotational,gradey dick
Grant Williams,willigr01,11551.0,20.0,0.8,0,0,Starter,grant williams
Grayson Allen,allengr01,11694.0,26.5,6.5,0,0,Starter,grayson allen
Guerschon Yabusele,yabusgu01,4395.0,7.8,0.3,0,0,Rotational,guerschon yabusele
Gui Santos,santogu01,2349.0,5.1,0.7,0,0,Rotational,gui santos
Harrison Barnes,barneha02,35555.0,69.9,10.4,0,0,All-Star,harrison barnes
Harrison Ingram,ingraha01,61.0,0.2,0.0,0,0,Rotational,harrison ingram
Herbert Jones,joneshe01,8843.0,16.2,2.5,0,0,Rotational,herbert jones
Hunter Dickinson,dickihu01,42.0,-0.1,-0.1,0,0,Rotational,hunter dickinson
Hunter Sallis,sallihu01,26.0,-0.1,-0.1,0,0,Rotational,hunter sallis
Hunter Tyson,tysonhu01,610.0,0.4,-0.6,0,0,Rotational,hunter tyson
Immanuel Quickley,quickim01,12508.0,32.5,10.8,0,0,Starter,immanuel quickley
Isaac Jones,jonesis01,376.0,0.7,-0.1,0,0,Rotational,isaac jones
Isaac Okoro,okorois01,10441.0,18.2,-0.9,0,0,Starter,isaac okoro
Isaiah Collier,colliis01,3356.0,0.8999999999999999,-1.8,0,0,Rotational,isaiah collier
Isaiah Crawford,crawfis01,138.0,0.1,0.0,0,0,Rotational,isaiah crawford
Isaiah Hartenstein,harteis01,9070.0,35.1,9.7,0,0,Starter,isaiah hartenstein
Isaiah Jackson,jacksis01,4254.0,12.9,1.5,0,0,Rotational,isaiah jackson
Isaiah Joe,joeis01,6943.0,18.9,4.6,0,0,Rotational,isaiah joe
Isaiah Livers,liveris01,2398.0,2.0,-0.6,0,0,Rotational,isaiah livers
Isaiah Stevens,steveis01,49.0,0.1,0.0,0,0,Rotational,isaiah stevens
Isaiah Stewart,stewais01,8859.0,19.5,1.2,0,0,Rotational,isaiah stewart
JD Davison,davisjd01,416.0,0.6,0.0,0,0,Rotational,jd davison
Ja Morant,moranja01,10370.0,24.3,11.9,2,2,All-Star,ja morant
Ja'Kobe Walter,walteja01,2577.0,4.9,0.3,0,0,Rotational,ja'kobe walter
Jabari Smith Jr.,smithja05,9296.0,18.3,1.4,0,0,Rotational,jabari smith jr.
Jabari Walker,walkeja01,3830.0,6.8,-1.1,0,0,Rotational,jabari walker
Jackson Rowe,roweja01,52.0,0.2,0.0,0,0,Rotational,jackson rowe
Jacob Toppin,toppija01,207.0,0.2,0.0,0,0,Rotational,jacob toppin
Jaden Hardy,hardyja02,4400.0,0.3,-2.3,0,0,Rotational,jaden hardy
Jaden Ivey,iveyja01,6759.0,4.4,-0.0999999999999999,0,0,Rotational,jaden ivey
Jaden McDaniels,mcdanja02,12765.0,23.1,1.6,0,0,Starter,jaden mcdaniels
Jae'Sean Tate,tateja01,6800.0,11.7,0.0,0,0,Rotational,jae'sean tate
Jahmir Young,youngja05,88.0,0.1,-0.1,0,0,Rotational,jahmir young
Jahmyl Telfort,telfoja01,32.0,-0.1,-0.1,0,0,Rotational,jahmyl telfort
Jaime Jaquez Jr.,jaqueja01,5602.0,10.5,1.6,0,0,Rotational,jaime jaquez jr.
Jake LaRavia,laravja01,5979.0,11.1,1.6,0,0,Rotational,jake laravia
Jakob Poeltl,poeltja01,16375.0,54.5,13.7,0,0,All-Star,jakob poeltl
Jalen Brunson,brunsja01,16830.0,54.3,18.8,3,3,Superstar,jalen brunson
Jalen Duren,durenja01,7457.0,29.5,7.6,1,0,All-Star,jalen duren
Jalen Green,greenja05,10866.0,11.0,2.4,0,0,Starter,jalen green
Jalen Johnson,johnsja05,6867.0,15.8,7.2,1,0,All-Star,jalen johnson
Jalen Pickett,pickeja02,1595.0,2.3000000000000003,0.0,0,0,Rotational,jalen pickett
Jalen Suggs,suggsja01,7154.0,8.3,3.0,0,0,Rotational,jalen suggs
Jalen Williams,willija06,7672.0,23.7,8.1,1,0,All-Star,jalen williams
Jalen Wilson,wilsoja03,3554.0,3.2,-2.0,0,0,Rotational,jalen wilson
Jamal Cain,cainja01,1487.0,2.9,0.1,0,0,Rotational,jamal cain
Jamal Murray,murraja01,19448.0,47.5,16.4,1,0,All-Star,jamal murray
Jamal Shead,sheadja01,3319.0,3.5,-0.9,0,0,Rotational,jamal shead
James Harden,hardeja01,48915.0,204.7,98.9,11,10,Superstar,james harden
James Wiseman,wisemja01,3724.0,5.6,-1.8,0,0,Rotational,james wiseman
Jamir Watkins,watkija01,1032.0,1.1,-0.3,0,0,Rotational,jamir watkins
Jamison Battle,battlja01,1559.0,2.6,-0.2,0,0,Rotational,jamison battle
Jarace Walker,walkeja02,3480.0,2.5,0.3,0,0,Rotational,jarace walker
Jared McCain,mccaija01,2912.0,3.6,0.0,0,0,Rotational,jared mccain
Jaren Jackson Jr.,jacksja02,14547.0,31.7,9.7,2,0,All-Star,jaren jackson jr.
Jarred Vanderbilt,vandeja01,9228.0,23.8,4.800000000000001,0,0,Starter,jarred vanderbilt
Jarrett Allen,allenja01,19403.0,79.5,20.9,1,0,All-Star,jarrett allen
Jase Richardson,richaja02,587.0,1.0,-0.1,0,0,Rotational,jase richardson
Javon Small,smallja01,830.0,1.9,0.6,0,0,Rotational,javon small
Javonte Green,greenja02,7605.0,17.900000000000002,3.3000000000000003,0,0,Rotational,javonte green
Jaxson Hayes,hayesja02,7229.0,25.2,3.5,0,0,Starter,jaxson hayes
Jay Huff,huffja01,2631.0,6.4,2.3000000000000003,0,0,Rotational,jay huff
Jaylen Brown,brownja02,20908.0,47.5,14.1,5,0,All-Star,jaylen brown
Jaylen Clark,clarkja02,1410.0,3.3,0.1,0,0,Rotational,jaylen clark
Jaylen Wells,wellsja01,3864.0,5.1,-0.6,0,0,Rotational,jaylen wells
Jaylin Williams,willija07,3872.0,11.7,3.5,0,0,Rotational,jaylin williams
Jaylon Tyson,tysonja01,2230.0,4.8,0.8,0,0,Rotational,jaylon tyson
Jayson Tatum,tatumja01,20707.0,67.1,30.2,6,5,Superstar,jayson tatum
Jerami Grant,grantje01,23280.0,43.6,8.9,0,0,Starter,jerami grant
Jeremiah Fears,fearsje01,2112.0,0.6,-0.4,0,0,Rotational,jeremiah fears
Jeremiah Robinson-Earl,robinje02,4196.0,6.1,-0.8,0,0,Rotational,jeremiah robinson-earl
Jeremy Sochan,sochaje01,5953.0,6.7,-1.0,0,0,Rotational,jeremy sochan
Jericho Sims,simsje01,4534.0,11.3,-0.5,0,0,Rotational,jericho sims
Jett Howard,howarje01,1463.0,1.4,-0.6,0,0,Rotational,jett howard
Jevon Carter,carteje01,8918.0,11.5,1.2,0,0,Rotational,jevon carter
Joan Beringer,berinjo01,314.0,1.5,0.2,0,0,Rotational,joan beringer
Jock Landale,landajo01,5843.0,15.8,2.5,0,0,Rotational,jock landale
Joe Ingles,inglejo01,17638.0,42.3,13.2,0,0,Starter,joe ingles
Joel Embiid,embiijo01,15608.0,68.9,34.3,7,5,Superstar,joel embiid
