Name,player_id,Career_MP,Career_WS,Career_VORP,All_Star_Selections,All_NBA_Selections,OutcomeClass
Aaron Gordon,gordoaa01,23465.0,52.2,14.1,0,0,All-Star
Aaron Holiday,holidaa01,9168.0,12.9,0.2,0,0,Rotational
Aaron Nesmith,nesmiaa01,7512.0,11.2,-0.1999999999999999,0,0,Rotational
Aaron Wiggins,wiggiaa01,6892.0,15.0,1.9,0,0,Rotational
Al Horford,horfoal01,36887.0,119.5,45.3,5,0,Superstar
Alex Caruso,carusal01,10307.0,23.1,7.899999999999999,0,0,Starter
Alex Sarr,sarral01,3119.0,1.3,0.3,0,0,Rotational
Amir Coffey,coffeam01,6933.0,13.3,-0.1,0,0,Rotational
Andre Drummond,drumman01,30009.0,91.5,21.6,2,0,All-Star
Andrew Nembhard,nembhan01,7437.0,8.799999999999999,-0.2,0,0,Rotational
Andrew Wiggins,wiggian01,31650.0,43.6,8.2,1,0,All-Star
Anthony Black,blackan01,4961.0,6.6,0.3999999999999999,0,0,Rotational
Anthony Davis,davisan02,29447.0,126.7,58.0,10,4,Superstar
Anthony Edwards,edwaran01,15400.0,31.3,15.8,4,2,All-Star
Anthony Gill,gillan01,3119.0,5.9,-1.0,0,0,Rotational
Austin Reaves,reaveau01,10202.0,27.4,7.5,0,0,Starter
Ayo Dosunmu,dosunay01,11576.0,22.3,3.4,0,0,Starter
Bam Adebayo,adebaba01,19719.0,64.0,22.2,3,0,All-Star
Ben Sheppard,sheppbe01,3432.0,4.3,-0.7,0,0,Rotational
Bennedict Mathurin,mathube01,9149.0,10.4,-2.5,0,0,Rotational
Bilal Coulibaly,coulibi01,5131.0,1.7,-1.8,0,0,Rotational
Bismack Biyombo,biyombi01,17844.0,34.5,-3.0,0,0,Starter
Bobby Portis,portibo01,17825.0,38.3,6.5,0,0,Starter
Bogdan Bogdanović,bogdabo01,16098.0,27.0,7.699999999999999,0,0,Starter
Bones Hyland,hylanbo01,5675.0,9.3,2.7,0,0,Rotational
Bradley Beal,bealbr01,27681.0,58.3,23.6,3,0,All-Star
Brandin Podziemski,podzibr01,6017.0,13.4,3.4,0,0,Rotational
Brandon Clarke,clarkbr01,6412.0,24.7,7.3,0,0,Starter
Brandon Ingram,ingrabr01,18920.0,32.0,10.5,2,0,All-Star
Brandon Miller,millebr02,5275.0,5.7,1.9,0,0,Rotational
Brice Sensabaugh,sensabr01,3778.0,2.0,-0.5,0,0,Rotational
Brook Lopez,lopezbr01,35157.0,94.5,28.5,1,0,All-Star
Bruce Brown,brownbr01,16162.0,25.7,0.3999999999999999,0,0,Starter
Bub Carrington,carrica01,4729.0,-0.2,-3.2,0,0,Rotational
Buddy Hield,hieldbu01,28365.0,36.4,13.7,0,0,Starter
CJ McCollum,mccolcj01,31937.0,61.4,24.8,0,0,All-Star
Cade Cunningham,cunnica01,9186.0,15.0,9.8,2,1,All-Star
Caleb Martin,martica02,9632.0,13.2,0.6000000000000001,0,0,Rotational
Cam Thomas,thomaca02,6742.0,4.6,-1.1,0,0,Rotational
Cameron Johnson,johnsca02,11866.0,30.0,10.2,0,0,Starter
Caris LeVert,leverca01,20569.0,34.0,9.4,0,0,Starter
Cason Wallace,wallaca01,5614.0,14.4,4.1,0,0,Rotational
Chet Holmgren,holmgch01,5287.0,21.2,7.4,1,0,All-Star
Chris Boucher,bouchch01,7310.0,26.1,5.6000000000000005,0,0,Starter
Chris Paul,paulch01,45836.0,215.3,98.7,12,11,Superstar
Christian Braun,braunch01,6910.0,16.3,1.8,0,0,Rotational
Clint Capela,capelca01,18329.0,72.4,16.4,0,0,All-Star
Coby White,whiteco01,15064.0,22.0,1.9,0,0,Starter
Cody Martin,martico01,6906.0,8.4,0.3999999999999999,0,0,Rotational
Cole Anthony,anthoco01,8462.0,10.4,2.6,0,0,Rotational
Collin Sexton,sextoco01,15385.0,23.6,4.0,0,0,Starter
Corey Kispert,kispeco01,9723.0,12.9,-0.7,0,0,Rotational
D'Angelo Russell,russeda01,24476.0,35.4,16.5,1,0,All-Star
Damian Lillard,lillada01,32614.0,118.3,54.6,9,5,Superstar
Daniel Gafford,gaffoda01,11290.0,46.5,11.1,0,0,Starter
Darius Garland,garlada01,15381.0,29.8,8.4,2,0,All-Star
Davion Mitchell,mitchda01,10678.0,13.2,-1.6,0,0,Starter
Day'Ron Sharpe,sharpda01,3931.0,11.9,2.1,0,0,Rotational
De'Aaron Fox,foxde01,22132.0,44.7,16.4,2,1,All-Star
De'Andre Hunter,huntede01,13912.0,18.6,-1.7999999999999998,0,0,Starter
De'Anthony Melton,meltode01,9272.0,14.8,5.2,0,0,Rotational
DeAndre Jordan,jordade01,30735.0,108.6,24.5,1,0,Superstar
DeMar DeRozan,derozde01,43634.0,114.2,30.5,6,3,Superstar
Dean Wade,wadede01,6832.0,14.9,2.9,0,0,Rotational
Deandre Ayton,aytonde01,14230.0,43.7,9.2,0,0,Starter
Dejounte Murray,murrade01,15134.0,26.8,12.9,1,0,All-Star
Deni Avdija,avdijde01,11878.0,21.7,5.9,1,0,All-Star
Derrick Jones Jr.,jonesde02,11679.0,26.8,3.6,0,0,Starter
Derrick White,whitede01,18905.0,51.8,20.2,0,0,All-Star
Desmond Bane,banede01,12030.0,32.9,12.6,0,0,Starter
Devin Booker,bookede01,25295.0,57.9,20.2,5,1,All-Star
Devin Vassell,vassede01,10446.0,16.7,4.3,0,0,Starter
Dillon Brooks,brookdi01,16205.0,16.9,-5.300000000000001,0,0,Starter
Domantas Sabonis,sabondo01,22599.0,78.1,30.8,3,2,All-Star
Donovan Clingan,clingdo01,3418.0,12.6,3.2,0,0,Rotational
Donovan Mitchell,mitchdo01,20585.0,60.1,29.4,7,2,All-Star
Donte DiVincenzo,divindo01,14111.0,29.8,9.9,0,0,Starter
Dorian Finney-Smith,finnedo01,20968.0,33.8,4.1,0,0,Starter
Doug McDermott,mcderdo01,18191.0,27.6,-1.2000000000000002,0,0,Starter
Draymond Green,greendr01,27151.0,66.3,28.1,4,1,All-Star
Drew Eubanks,eubandr01,8427.0,21.7,2.2,0,0,Starter
Duncan Robinson,robindu01,13126.0,26.0,4.2,0,0,Starter
Dwight Powell,poweldw01,13705.0,51.1,9.1,0,0,All-Star
Dyson Daniels,daniedy01,7491.0,15.8,5.3,0,0,Rotational
Eric Gordon,gordoer01,30922.0,44.4,9.2,0,0,Starter
Evan Mobley,mobleev01,10819.0,34.7,12.1,1,1,All-Star
Franz Wagner,wagnefr01,10417.0,24.2,7.800000000000001,0,0,Starter
Fred VanVleet,vanvlfr01,17193.0,46.1,18.8,1,0,All-Star
Gabe Vincent,vincega01,7589.0,6.3,-3.2,0,0,Rotational
Garrett Temple,templga01,18138.0,18.9,-1.5,0,0,Starter
Gary Harris,harriga01,18406.0,28.3,2.1,0,0,Starter
Gary Payton II,paytoga02,5759.0,16.5,4.5,0,0,Rotational
Gary Trent Jr.,trentga02,14877.0,20.7,1.2999999999999998,0,0,Starter
Georges Niang,niangge01,11191.0,18.9,0.6,0,0,Starter
Giannis Antetokounmpo,antetgi01,29273.0,125.7,65.5,10,9,Superstar
Goga Bitadze,bitadgo01,6034.0,20.7,4.6,0,0,Starter
Gradey Dick,dickgr01,3922.0,3.1,-2.0,0,0,Rotational
Grant Williams,willigr01,11551.0,20.0,0.8,0,0,Starter
Grayson Allen,allengr01,11694.0,26.5,6.5,0,0,Starter
Guerschon Yabusele,yabusgu01,4395.0,7.8,0.3,0,0,Rotational
Harrison Barnes,barneha02,35555.0,69.9,10.4,0,0,All-Star
Herbert Jones,joneshe01,8843.0,16.2,2.5,0,0,Rotational
Immanuel Quickley,quickim01,12508.0,32.5,10.8,0,0,Starter
Isaac Okoro,okorois01,10441.0,18.2,-0.9,0,0,Starter
Isaiah Collier,colliis01,3356.0,0.8999999999999999,-1.8,0,0,Rotational
Isaiah Hartenstein,harteis01,9070.0,35.1,9.7,0,0,Starter
Isaiah Jackson,jacksis01,4254.0,12.9,1.5,0,0,Rotational
Isaiah Joe,joeis01,6943.0,18.9,4.6,0,0,Rotational
Isaiah Stewart,stewais01,8859.0,19.5,1.2,0,0,Rotational
Ja Morant,moranja01,10370.0,24.3,11.9,2,2,All-Star
Jabari Smith Jr.,smithja05,9296.0,18.3,1.4,0,0,Rotational
Jabari Walker,walkeja01,3830.0,6.8,-1.1,0,0,Rotational
Jaden Hardy,hardyja02,4400.0,0.3,-2.3,0,0,Rotational
Jaden Ivey,iveyja01,6759.0,4.4,-0.0999999999999999,0,0,Rotational
Jaden McDaniels,mcdanja02,12765.0,23.1,1.6,0,0,Starter
Jae'Sean Tate,tateja01,6800.0,11.7,0.0,0,0,Rotational
Jaime Jaquez Jr.,jaqueja01,5602.0,10.5,1.6,0,0,Rotational
Jake LaRavia,laravja01,5979.0,11.1,1.6,0,0,Rotational
Jakob Poeltl,poeltja01,16375.0,54.5,13.7,0,0,All-Star
Jalen Brunson,brunsja01,16830.0,54.3,18.8,3,3,Superstar
Jalen Duren,durenja01,7457.0,29.5,7.6,1,0,All-Star
Jalen Green,greenja05,10866.0,11.0,2.4,0,0,Starter
Jalen Johnson,johnsja05,6867.0,15.8,7.2,1,0,All-Star
Jalen Suggs,suggsja01,7154.0,8.3,3.0,0,0,Rotational
Jalen Williams,willija06,7672.0,23.7,8.1,1,0,All-Star
Jalen Wilson,wilsoja03,3554.0,3.2,-2.0,0,0,Rotational
Jamal Murray,murraja01,19448.0,47.5,16.4,1,0,All-Star
Jamal Shead,sheadja01,3319.0,3.5,-0.9,0,0,Rotational
James Harden,hardeja01,48915.0,204.7,98.9,11,10,Superstar
James Wiseman,wisemja01,3724.0,5.6,-1.8,0,0,Rotational
Jarace Walker,walkeja02,3480.0,2.5,0.3,0,0,Rotational
Jaren Jackson Jr.,jacksja02,14547.0,31.7,9.7,2,0,All-Star
Jarred Vanderbilt,vandeja01,9228.0,23.8,4.800000000000001,0,0,Starter
Jarrett Allen,allenja01,19403.0,79.5,20.9,1,0,All-Star
Javonte Green,greenja02,7605.0,17.900000000000002,3.3000000000000003,0,0,Rotational
Jaxson Hayes,hayesja02,7229.0,25.2,3.5,0,0,Starter
Jaylen Brown,brownja02,20908.0,47.5,14.1,5,0,All-Star
Jaylen Wells,wellsja01,3864.0,5.1,-0.6,0,0,Rotational
Jaylin Williams,willija07,3872.0,11.7,3.5,0,0,Rotational
Jayson Tatum,tatumja01,20707.0,67.1,30.2,6,5,Superstar
Jerami Grant,grantje01,23280.0,43.6,8.9,0,0,Starter
Jeremiah Robinson-Earl,robinje02,4196.0,6.1,-0.8,0,0,Rotational
Jeremy Sochan,sochaje01,5953.0,6.7,-1.0,0,0,Rotational
Jericho Sims,simsje01,4534.0,11.3,-0.5,0,0,Rotational
Jevon Carter,carteje01,8918.0,11.5,1.2,0,0,Rotational
Jimmy Butler,butleji01,33903.0,145.9,59.0,6,3,Superstar
Jock Landale,landajo01,5843.0,15.8,2.5,0,0,Rotational
Joe Ingles,inglejo01,17638.0,42.3,13.2,0,0,Starter
Joel Embiid,embiijo01,15608.0,68.9,34.3,7,5,Superstar
John Collins,collijo01,15611.0,43.8,9.8,0,0,Starter
John Konchar,konchjo01,7503.0,18.6,5.5,0,0,Rotational
Jonathan Isaac,isaacjo01,6161.0,14.9,4.4,0,0,Rotational
Jonathan Kuminga,kuminjo01,7332.0,13.9,1.4,0,0,Rotational
Jordan Clarkson,clarkjo01,25695.0,32.3,7.300000000000001,0,0,Starter
Jordan Goodwin,goodwjo01,5337.0,9.4,3.1,0,0,Rotational
Jordan Hawkins,hawkijo01,3173.0,0.4,-2.2,0,0,Rotational
Jordan McLaughlin,mclaujo01,4644.0,10.8,2.4,0,0,Rotational
Jordan Poole,poolejo01,12283.0,11.5,0.2999999999999998,0,0,Starter
Jose Alvarado,alvarjo01,7278.0,11.6,2.5,0,0,Rotational
Josh Giddey,giddejo01,9926.0,17.2,8.9,0,0,Rotational
Josh Green,greenjo02,7323.0,11.1,-1.2000000000000002,0,0,Rotational
Josh Hart,hartjo01,22368.0,53.1,15.7,0,0,All-Star
Josh Okogie,okogijo01,9931.0,15.6,1.3,0,0,Rotational
Jrue Holiday,holidjr01,35719.0,78.1,32.7,2,0,All-Star
Julian Champagnie,champju02,6306.0,11.3,2.1,0,0,Rotational
Julius Randle,randlju01,25348.0,56.8,19.3,3,1,All-Star
Justin Champagnie,champju01,3301.0,7.0,0.8999999999999999,0,0,Rotational
Karl-Anthony Towns,townska01,24294.0,94.8,38.4,6,0,All-Star
Kawhi Leonard,leonaka01,25368.0,111.9,55.1,7,6,Superstar
Keegan Murray,murrake02,8373.0,14.1,1.6,0,0,Rotational
Kel'el Ware,wareke01,3126.0,10.3,2.5,0,0,Rotational
Keldon Johnson,johnske04,12511.0,23.2,3.3,0,0,Starter
Kelly Olynyk,olynyke01,23007.0,58.8,16.8,0,0,All-Star
Kenrich Williams,willike04,8631.0,18.4,3.1,0,0,Rotational
Kentavious Caldwell-Pope,caldwke01,28124.0,49.0,7.2,0,0,Starter
Keon Ellis,elliske01,5953.0,11.9,4.0,0,0,Rotational
Kevin Durant,duranke01,45749.0,193.0,96.4,16,11,Superstar
Kevin Huerter,huertke01,18343.0,26.1,4.8,0,0,Starter
Kevin Love,loveke01,29358.0,98.7,37.3,5,2,All-Star
Kevin Porter Jr.,porteke02,10153.0,11.2,3.0,0,0,Starter
Kevon Looney,looneke01,10617.0,38.2,6.2,0,0,Starter
Keyonte George,georgke01,5918.0,4.1,-0.1999999999999999,0,0,Rotational
Khris Middleton,middlkh01,27544.0,60.6,15.5,3,0,All-Star
Klay Thompson,thompkl01,29306.0,57.6,17.4,5,1,All-Star
Kris Dunn,dunnkr01,11727.0,15.8,2.8,0,0,Starter
Kris Murray,murrakr01,3721.0,3.6,-0.7,0,0,Rotational
Kyle Anderson,anderky01,18032.0,46.0,16.5,0,0,Starter
Kyle Filipowski,filipky01,3323.0,5.6,0.8,0,0,Rotational
Kyle Kuzma,kuzmaky01,20597.0,15.3,0.6000000000000001,0,0,Starter
Kyle Lowry,lowryky01,40167.0,119.5,44.3,6,1,Superstar
Kyrie Irving,irvinky01,29120.0,98.3,47.4,9,0,All-Star
Kyshawn George,georgky01,3193.0,0.7,-0.6000000000000001,0,0,Rotational
LaMelo Ball,ballla01,9392.0,19.7,12.5,1,0,All-Star
Landry Shamet,shamela01,11362.0,19.3,0.5,0,0,Starter
Larry Nance Jr.,nancela02,15497.0,43.4,12.2,0,0,Starter
Lauri Markkanen,markkla01,15401.0,36.7,12.1,1,0,All-Star
Lindy Waters III,waterli01,3117.0,5.2,0.1999999999999999,0,0,Rotational
Lonzo Ball,balllo01,9692.0,13.2,6.800000000000001,0,0,Rotational
Luguentz Dort,dortlu01,12468.0,18.6,-0.2999999999999999,0,0,Starter
Luke Kennard,kennalu01,15436.0,36.0,8.0,0,0,Starter
Luke Kornet,kornelu01,7149.0,27.5,7.5,0,0,Starter
Malaki Branham,branhma01,3846.0,0.1,-2.9000000000000004,0,0,Rotational
Malik Monk,monkma01,13307.0,16.1,3.1,0,0,Starter
Marcus Smart,smartma01,21175.0,36.9,7.7,0,0,Starter
Mark Williams,willima07,3923.0,15.9,3.7,0,0,Rotational
Marvin Bagley III,baglema01,11333.0,25.5,2.6,0,0,Starter
Mason Plumlee,plumlma01,23343.0,72.8,19.7,0,0,All-Star
Matas Buzelis,buzelma01,3759.0,4.5,0.3,0,0,Rotational
Matisse Thybulle,thybuma01,8949.0,17.5,6.5,0,0,Rotational
Max Christie,chrisma02,7954.0,9.4,-0.8,0,0,Rotational
Max Strus,strusma01,8172.0,15.9,3.4000000000000004,0,0,Rotational
Maxi Kleber,klebima01,10288.0,20.6,3.5,0,0,Starter
Michael Porter Jr.,portemi01,11725.0,29.4,8.8,0,0,Starter
Mikal Bridges,bridgmi01,24169.0,57.4,18.7,0,0,All-Star
Mike Conley,conlemi01,39617.0,113.0,42.3,1,1,Superstar
Miles Bridges,bridgmi02,15457.0,27.8,8.3,0,0,Starter
Miles McBride,mcbrimi01,5133.0,10.4,2.0,0,0,Rotational
Moritz Wagner,wagnemo01,7200.0,19.0,3.4,0,0,Rotational
Moses Moody,moodymo01,5769.0,11.6,1.6,0,0,Rotational
Myles Turner,turnemy01,20366.0,51.6,13.5,0,0,All-Star
Naji Marshall,marshna01,8587.0,14.6,1.8,0,0,Rotational
Naz Reid,reidna01,10479.0,24.8,7.4,0,0,Starter
Neemias Queta,quetane01,3271.0,14.2,2.9,0,0,Rotational
Nic Claxton,claxtni01,9944.0,30.9,8.2,0,0,Starter
Nick Richards,richani01,7320.0,17.5,-2.3,0,0,Rotational
Nickeil Alexander-Walker,alexani01,12895.0,17.8,3.6,0,0,Starter
Nicolas Batum,batumni01,35459.0,79.1,29.5,0,0,All-Star
Noah Clowney,clownno01,3192.0,2.5,-1.0,0,0,Rotational
Norman Powell,powelno01,20318.0,43.9,11.0,1,0,All-Star
OG Anunoby,anunoog01,18780.0,40.2,11.3,0,0,Starter
Obi Toppin,toppiob01,6662.0,17.7,5.2,0,0,Rotational
Ochai Agbaji,agbajoc01,8176.0,6.4,-2.9,0,0,Rotational
Onyeka Okongwu,okongon01,9208.0,30.9,5.9,0,0,Starter
Ousmane Dieng,diengou01,3537.0,2.3,-1.1,0,0,Rotational
Paolo Banchero,banchpa01,9313.0,16.2,6.9,1,0,All-Star
Pascal Siakam,siakapa01,24351.0,65.0,23.7,4,1,All-Star
Pat Connaughton,connapa01,11736.0,25.3,4.7,0,0,Starter
Patrick Williams,willipa01,8952.0,8.4,-1.5,0,0,Rotational
Paul George,georgpa01,31651.0,92.1,45.4,9,2,All-Star
Paul Reed,reedpa01,4163.0,15.9,3.7,0,0,Rotational
Payton Pritchard,pritcpa01,9564.0,29.4,8.6,0,0,Starter
Peyton Watson,watsope01,4928.0,7.9,0.3,0,0,Rotational
Precious Achiuwa,achiupr01,9765.0,18.0,-0.0999999999999999,0,0,Rotational
Quentin Grimes,grimequ01,11189.0,19.0,3.8,0,0,Starter
Rayan Rupert,ruperra01,3237.0,1.2,-2.7,0,0,Rotational
Royce O'Neale,onealro01,19884.0,38.3,11.0,0,0,Starter
Rudy Gobert,goberru01,27810.0,124.8,35.8,3,2,Superstar
Rui Hachimura,hachiru01,12738.0,20.5,0.0,0,0,Starter
Russell Westbrook,westbru01,45152.0,114.5,60.4,9,8,Superstar
Ryan Rollins,rolliry01,3414.0,5.3,1.7,0,0,Rotational
Saddiq Bey,beysa01,13179.0,24.0,5.2,0,0,Starter
Sam Hauser,hausesa01,6664.0,18.3,5.0,0,0,Rotational
Sam Merrill,merrisa01,4197.0,10.5,2.2,0,0,Rotational
Sandro Mamukelashvili,mamuksa01,4610.0,12.2,3.0,0,0,Rotational
Santi Aldama,aldamsa01,6518.0,14.6,4.800000000000001,0,0,Rotational
Scoot Henderson,hendesc01,4272.0,1.1,-1.8,0,0,Rotational
Scottie Barnes,barnesc01,12204.0,27.2,13.0,2,0,All-Star
Shai Gilgeous-Alexander,gilgesh01,17550.0,75.39999999999999,36.9,4,3,Superstar
Simone Fontecchio,fontesi01,6464.0,8.3,0.6,0,0,Rotational
Stephen Curry,curryst01,36304.0,147.4,77.4,12,11,Superstar
Stephon Castle,castlst01,4200.0,6.9,1.4,0,0,Rotational
Steven Adams,adamsst01,20468.0,63.9,12.8,0,0,All-Star
Svi Mykhailiuk,mykhasv01,8774.0,6.2,-0.8999999999999999,0,0,Rotational
T.J. McConnell,mccontj01,15884.0,34.6,9.8,0,0,Starter
Tari Eason,easonta01,5216.0,11.8,2.7,0,0,Rotational
Taurean Prince,princta02,15918.0,16.6,-0.4000000000000001,0,0,Starter
Taylor Hendricks,hendrta01,3167.0,3.5,-0.1,0,0,Rotational
Terance Mann,mannte01,12044.0,26.3,2.2,0,0,Starter
Terry Rozier,roziete01,20397.0,34.5,11.8,0,0,Starter
Thomas Bryant,bryanth01,8686.0,29.9,6.3,0,0,Starter
Tim Hardaway Jr.,hardati02,26446.0,40.0,5.2,0,0,Starter
Tobias Harris,harrito02,41800.0,103.4,32.4,0,0,Superstar
Tony Bradley,bradlto01,3691.0,12.6,1.5,0,0,Rotational
Toumani Camara,camarto01,7018.0,12.0,1.4,0,0,Rotational
Trae Young,youngtr01,17390.0,46.2,20.1,4,0,All-Star
Trayce Jackson-Davis,jackstr02,3089.0,11.1,2.6,0,0,Rotational
Tre Jones,jonestr01,9101.0,23.1,4.8,0,0,Starter
Tre Mann,manntr01,5512.0,3.1,-1.5,0,0,Rotational
Trendon Watford,watfotr01,4684.0,7.9,0.2,0,0,Rotational
Trey Murphy III,murphtr02,9197.0,24.4,8.299999999999999,0,0,Starter
Ty Jerome,jeromty01,4479.0,11.1,3.4,0,0,Rotational
Tyler Herro,herroty01,12796.0,22.4,9.1,1,0,All-Star
Tyrese Haliburton,halibty01,13694.0,44.5,22.0,2,0,All-Star
Tyrese Maxey,maxeyty01,12848.0,35.2,13.5,2,0,All-Star
Tyus Jones,jonesty01,16382.0,35.9,9.0,0,0,Starter
Victor Wembanyama,wembavi01,5499.0,17.5,13.1,2,0,All-Star
Vince Williams Jr.,willivi01,3680.0,3.4,0.6000000000000001,0,0,Rotational
Walker Kessler,kesslwa01,5090.0,17.1,5.1,0,0,Rotational
Wendell Carter Jr.,cartewe01,14110.0,36.7,5.5,0,0,Starter
Yves Missi,missiyv01,3253.0,6.300000000000001,-0.4,0,0,Rotational
Zaccharie Risacher,risacza01,3346.0,4.1,-0.8999999999999999,0,0,Rotational
Zach Collins,colliza01,8298.0,14.9,1.5,0,0,Rotational
Zach LaVine,lavinza01,25287.0,43.8,16.4,2,0,All-Star
Zeke Nnaji,nnajize01,3633.0,7.6,-0.7,0,0,Rotational
Ziaire Williams,willizi02,5767.0,6.2,-1.4,0,0,Rotational
Zion Williamson,willizi01,8555.0,30.4,14.1,2,0,All-Star
A.J. Green,greenaj01,4888.0,7.1,-0.8,0,0,Rotational
Monte Morris,morrimo01,10349.0,25.9,5.7,0,0,Starter
Xavier Tillman Sr.,tillmxa01,5511.0,12.0,2.2,0,0,Rotational
Tristan Da Silva,dasiltr01,3528.0,5.8,0.3999999999999999,0,0,Rotational
RJ Barrett,barrerj01,16378.0,20.2,2.4,0,0,Starter
Moussa Diabate,diabamo01,3399.0,11.3,1.9,0,0,Rotational
Kelly Oubre,oubreke01,21251.0,29.7,1.3,0,0,Starter
PJ Washington,washipj01,15874.0,18.6,2.6,0,0,Starter
Dario Saric,saricda01,13949.0,25.9,3.7,0,0,Starter
Robert Williams III,williro04,5762.0,28.4,9.7,0,0,Starter
Luka Doncic,doncilu01,19770.0,72.5,48.8,6,5,Superstar
Nikola Jokic,jokicni01,25914.0,142.7,82.4,8,7,Superstar
Nikola Jovic,jovicni01,3064.0,4.6,0.7999999999999999,0,0,Rotational
Kristaps Porzingis,porzikr01,18425.0,58.4,22.0,1,0,All-Star
Dennis Schroder,schrode01,32846.0,45.5,2.7,0,0,Starter
Alperen Sengun,sengual01,10499.0,30.5,13.4,2,0,All-Star
Jonas Valanciunas,valanjo01,27044.0,96.1,20.2,0,0,All-Star
Nikola Vucevic,vucevni01,36487.0,95.1,39.3,2,0,All-Star
